name,연봉,타석,타율,OPS,WAR
최형우,70000,618,0.376,1.116,7.75
테임즈,125000,529,0.321,1.106,5.97
최정,100000,606,0.288,0.983,5.82
김재환,5000,568,0.325,1.035,5.75
황재균,50000,559,0.335,0.964,5.55
김태균,160000,652,0.365,1.045,5.5
손아섭,60000,672,0.323,0.886,5.3
강민호,100000,460,0.323,0.981,5
히메네스,50000,579,0.308,0.889,4.85
양의지,42000,392,0.319,0.973,4.81
박석민,75000,506,0.307,0.982,4.78
박건우,7000,540,0.335,0.94,4.51
서건창,26000,646,0.325,0.847,4.46
나성범,30000,653,0.309,0.885,4.42
정근우,70000,650,0.31,0.845,4.37
이범호,65000,560,0.31,0.953,4.36
이용규,70000,530,0.352,0.872,4.31
민병헌,35000,579,0.325,0.891,4.24
오지환,25000,472,0.28,0.881,4.16
김주찬,50000,555,0.346,0.952,4.12
박민우,19000,515,0.343,0.847,4.09
박경수,23000,476,0.313,0.934,4.04
오재일,9500,455,0.316,1.003,4.03
구자욱,8000,495,0.343,0.967,3.96
나지완,20000,486,0.308,1.022,3.94
김하성,16000,599,0.281,0.836,3.81
에반스,55000,481,0.308,0.975,3.76
김민성,22000,579,0.306,0.869,3.37
유한준,60000,460,0.336,0.897,3.29
김재호,41000,496,0.31,0.829,3.24
서동욱,5800,485,0.292,0.883,3.13
대니돈,60000,497,0.295,0.893,3.03
로사리오,100000,532,0.321,0.961,3.01
윤석민,16000,402,0.334,0.966,2.96
박용택,80000,578,0.346,0.87,2.96
송광민,10000,494,0.325,0.873,2.95
손시헌,40000,403,0.305,0.817,2.73
이승엽,100000,623,0.303,0.899,2.62
이종욱,50000,517,0.305,0.785,2.54
김문호,7000,599,0.325,0.831,2.47
고종욱,7700,566,0.334,0.825,2.36
김성현,18000,530,0.319,0.794,2.29
마르테,75000,381,0.265,0.877,2.27
김강민,60000,422,0.298,0.809,2.19
고메즈,65000,492,0.283,0.814,2.19
박해민,15000,641,0.3,0.767,2.19
김주형,5500,387,0.281,0.854,2.17
필,90000,544,0.313,0.868,2.12
채은성,5500,451,0.313,0.809,2.01
정의윤,12000,616,0.311,0.858,2
이택근,50000,460,0.309,0.811,1.93
이재원,28000,472,0.29,0.799,1.93
허경민,20000,609,0.286,0.745,1.91
김용의,6000,347,0.318,0.8,1.8
이대형,30000,654,0.32,0.726,1.75
이호준,75000,472,0.298,0.902,1.71
이진영,60000,424,0.332,0.883,1.66
손주인,12000,409,0.322,0.798,1.61
박한이,45000,401,0.301,0.854,1.57
오재원,55000,484,0.272,0.713,1.43
아두치,78000,272,0.292,0.81,1.41
정성훈,50000,418,0.322,0.815,1.37
백상원,4500,517,0.288,0.725,1.36
김성욱,5500,348,0.265,0.802,1.23
김준완,3000,325,0.261,0.724,1.18
조영훈,11000,207,0.335,0.905,1.18
이병규,15600,350,0.272,0.789,1.18
최재원,5000,105,0.333,0.975,1.15
박정음,2700,263,0.309,0.808,1.1
이홍구,7000,273,0.266,0.783,1.01
모창민,12500,147,0.331,0.874,1
하주석,3200,441,0.279,0.733,1
이지영,21000,419,0.297,0.711,0.98
노수광,3000,238,0.309,0.779,0.91
박동원,14000,454,0.248,0.72,0.85
박정권,40000,468,0.277,0.797,0.84
발디리스,80000,190,0.266,0.851,0.84
신본기,5500,104,0.309,0.846,0.82
이천웅,2800,320,0.293,0.778,0.82
이성열,25000,219,0.288,0.855,0.81
최승준,4200,231,0.266,0.942,0.8
조동찬,40000,282,0.275,0.797,0.79
문선재,6500,127,0.288,0.885,0.79
김호령,6000,514,0.267,0.706,0.78
김재현,4000,193,0.321,0.807,0.78
유강남,8100,297,0.266,0.705,0.78
신종길,12000,240,0.31,0.775,0.76
맥스웰,28000,99,0.288,0.914,0.75
정훈,21000,439,0.262,0.7,0.73
류지혁,3000,134,0.288,0.763,0.73
배영섭,16000,381,0.266,0.73,0.71
최준석,40000,396,0.262,0.852,0.7
전민수,2700,240,0.305,0.795,0.7
오정복,8000,344,0.304,0.76,0.67
김민식,3000,170,0.257,0.72,0.64
최정민,3000,177,0.329,0.754,0.63
임병욱,4000,265,0.249,0.732,0.59
나주환,20000,65,0.386,1.12,0.57
김상호,2800,415,0.29,0.76,0.57
김동엽,2700,150,0.336,0.878,0.56
국해성,3000,174,0.278,0.798,0.55
유민상,3200,254,0.282,0.778,0.55
이흥련,7500,174,0.26,0.769,0.54
박재상,20000,288,0.298,0.794,0.49
서상우,6000,137,0.252,0.8,0.47
윤요섭,6500,149,0.238,0.784,0.46
윤정우,2900,82,0.299,0.863,0.46
김상수,31000,401,0.271,0.658,0.4
김준태,3000,144,0.275,0.751,0.39
신성현,3700,184,0.278,0.841,0.38
박헌도,8000,82,0.261,0.871,0.36
이원석,15000,22,0.316,1.153,0.36
최원준,2700,25,0.458,1.083,0.35
김지수,5500,106,0.286,0.793,0.32
최진행,18500,85,0.329,0.834,0.31
박승욱,2700,103,0.276,0.802,0.28
정진호,5200,32,0.375,0.99,0.27
문규현,3000,368,0.272,0.675,0.27
김경언,20000,217,0.264,0.753,0.26
김태완,8000,24,0.35,0.958,0.25
김종호,17500,137,0.295,0.679,0.23
김다원,7000,47,0.302,0.78,0.22
백창수,2016,21,0.333,1.04,0.22
김선빈,13000,27,0.36,0.905,0.2
전준우,20500,113,0.253,0.723,0.19
지재옥,2700,17,0.231,0.873,0.19
황대인,3000,7,0.429,1.571,0.17
최주환,11000,182,0.281,0.726,0.16
오준혁,3300,144,0.265,0.749,0.15
박광열,3000,15,0.4,0.8,0.13
박준혁,2400,9,0.375,1.069,0.13
허도환,7500,93,0.218,0.635,0.11
박기혁,15000,348,0.273,0.666,0.1
김웅빈,2700,15,0.429,1.043,0.1
이상호,4000,27,0.28,0.693,0.1
김원섭,15000,90,0.219,0.636,0.08
장시윤,3300,14,0.2,0.629,0.07
양석환,7000,215,0.276,0.721,0.06
권용관,8000,49,0.25,0.653,0.06
정수빈,28000,305,0.242,0.624,0.05
신현철,3000,25,0.292,0.695,0.05
박세혁,3000,210,0.209,0.639,0.04
고영민,15000,5,0.25,0.9,0.04
권희동,5100,47,0.268,0.703,0.04
한동민,6500,20,0.278,0.628,0.02
안익훈,4100,52,0.267,0.664,0.02
장영석,3300,33,0.192,0.633,0.02
김사훈,2900,36,0.321,0.744,0.02
오현근,3000,17,0.2,0.494,0.02
최정용,2700,61,0.296,0.685,0.01
이형종,2700,147,0.282,0.737,0
양성우,2800,446,0.271,0.701,0
